id,phrase,partofspeech,category
2321,provides account services,phrase,jobngram
2322,provid account servic,phrase,jobngram
2323,receiving deposits,phrase,jobngram
2324,receiv deposit,phrase,jobngram
2325,cashing checks,phrase,jobngram
2326,cash check,phrase,jobngram
2327,issuing savings withdrawals,phrase,jobngram
2328,issu save withdraw,phrase,jobngram
2329,recording night,phrase,jobngram
2330,record night,phrase,jobngram
2331,selling cashier,phrase,jobngram
2332,sell cashier,phrase,jobngram
2333,series e bonds,phrase,jobngram
2334,seri e bond,phrase,jobngram
2335,logging cashier,phrase,jobngram
2336,log cashier,phrase,jobngram
2337,currency transaction reports,phrase,jobngram
2338,currenc transact report,phrase,jobngram
2339,sells bank products,phrase,jobngram
2340,sell bank product,phrase,jobngram
2341,informing customers,phrase,jobngram
2342,inform custom,phrase,jobngram
2343,ascertaining customers,phrase,jobngram
2344,ascertain custom,phrase,jobngram
2345,directing customers,phrase,jobngram
2346,direct custom,phrase,jobngram
2347,closing accounts,phrase,jobngram
2348,close account,phrase,jobngram
2349,taking orders,phrase,jobngram
2350,take order,phrase,jobngram
2351,exchanging foreign currencies,phrase,jobngram
2352,exchang foreign currenc,phrase,jobngram
2353,providing special statements,phrase,jobngram
2354,provid special statement,phrase,jobngram
2355,deposit box procedures,phrase,jobngram
2356,deposit box procedur,phrase,jobngram
2357,reconciles cash drawer,phrase,jobngram
2358,reconcil cash drawer,phrase,jobngram
2359,proving cash transactions,phrase,jobngram
2360,prove cash transact,phrase,jobngram
2361,reconciling loan coupons,phrase,jobngram
2362,reconcil loan coupon,phrase,jobngram
2363,head teller,phrase,jobngram
2364,maintaining supply,phrase,jobngram
2365,customer traffic surveys,phrase,jobngram
2366,custom traffic survey,phrase,jobngram
2367,auditing other tellers,phrase,jobngram
2368,audit other teller,phrase,jobngram
2369,protects bank operations,phrase,jobngram
2370,protect bank oper,phrase,jobngram
2371,determining their coffee interests,phrase,jobngram
2372,determin their coffe interest,phrase,jobngram
2373,coffee drink menu,phrase,jobngram
2374,coffe drink menu,phrase,jobngram
2375,sells coffees,phrase,jobngram
2376,sell coffe,phrase,jobngram
2377,explaining differences,phrase,jobngram
2378,explain differ,phrase,jobngram
2379,coffee preparation machines,phrase,jobngram
2380,coffe prepar machin,phrase,jobngram
2381,sells coffee drinks,phrase,jobngram
2382,sell coffe drink,phrase,jobngram
2383,following prescribed recipes,phrase,jobngram
2384,follow prescrib recip,phrase,jobngram
2385,attracting new customers,phrase,jobngram
2386,attract new custom,phrase,jobngram
2387,replenishing coffee,phrase,jobngram
2388,replenish coffe,phrase,jobngram
2389,coffee brewing equipment,phrase,jobngram
2390,coffe brew equip,phrase,jobngram
2391,following organization standards,phrase,jobngram
2392,follow organ standard,phrase,jobngram
2393,improving the appearance,phrase,jobngram
2394,improv the appear,phrase,jobngram
2395,reading coffee,phrase,jobngram
2396,read coffe,phrase,jobngram
2397,food service publications,phrase,jobngram
2398,food servic public,phrase,jobngram
2399,enhances coffee shop,phrase,jobngram
2400,enhanc coffe shop,phrase,jobngram
2401,determines employee benefit,phrase,jobngram
2402,determin employe benefit,phrase,jobngram
2403,researching industry,phrase,jobngram
2404,research industri,phrase,jobngram
2405,tracking legislation,phrase,jobngram
2406,track legisl,phrase,jobngram
2407,estimating impact,phrase,jobngram
2408,estim impact,phrase,jobngram
2409,conducting employee surveys,phrase,jobngram
2410,conduct employe survey,phrase,jobngram
2411,forming focus groups,phrase,jobngram
2412,form focu group,phrase,jobngram
2413,analyzing responses,phrase,jobngram
2414,analyz respons,phrase,jobngram
2415,recommends employee benefit,phrase,jobngram
2416,recommend employe benefit,phrase,jobngram
2417,optimizing employee understanding,phrase,jobngram
2418,optim employe understand,phrase,jobngram
2419,employee benefit contracts,phrase,jobngram
2420,employe benefit contract,phrase,jobngram
2421,studying provisions,phrase,jobngram
2422,studi provis,phrase,jobngram
2423,explains employee benefits,phrase,jobngram
2424,explain employe benefit,phrase,jobngram
2425,conducting meetings,phrase,jobngram
2426,conduct meet,phrase,jobngram
2427,provides management planning,phrase,jobngram
2428,provid manag plan,phrase,jobngram
2429,employee benefit data,phrase,jobngram
2430,employe benefit data,phrase,jobngram
2431,maintains employee confidence,phrase,jobngram
2432,maintain employe confid,phrase,jobngram
2433,keeping benefit information confidential,phrase,jobngram
2434,keep benefit inform confidenti,phrase,jobngram
2435,wage structure,phrase,jobngram
2436,wage structur,phrase,jobngram
2437,recommends benefits programs,phrase,jobngram
2438,recommend benefit program,phrase,jobngram
2439,studying employee requirements,phrase,jobngram
2440,studi employe requir,phrase,jobngram
2441,analyzing benefit options,phrase,jobngram
2442,analyz benefit option,phrase,jobngram
2443,predicting future costs,phrase,jobngram
2444,predict futur cost,phrase,jobngram
2445,benefit options,phrase,jobngram
2446,benefit option,phrase,jobngram
2447,studying programs,phrase,jobngram
2448,studi program,phrase,jobngram
2449,obtaining advice,phrase,jobngram
2450,obtain advic,phrase,jobngram
2451,obtaining qualified opinions,phrase,jobngram
2452,obtain qualifi opinion,phrase,jobngram
2453,preparing and distributing benefit reports,phrase,jobngram
2454,prepar and distribut benefit report,phrase,jobngram
2455,benefit records,phrase,jobngram
2456,benefit record,phrase,jobngram
2457,developing recordkeeping systems,phrase,jobngram
2458,develop recordkeep system,phrase,jobngram
2459,initiating hire benefits,phrase,jobngram
2460,initi hire benefit,phrase,jobngram
2461,recording changes,phrase,jobngram
2462,record chang,phrase,jobngram
2463,resolves employee questions,phrase,jobngram
2464,resolv employe question,phrase,jobngram
2465,interpreting benefit policies,phrase,jobngram
2466,interpret benefit polici,phrase,jobngram
2467,maintaining working relationships,phrase,jobngram
2468,maintain work relationship,phrase,jobngram
2469,reconciles benefits accounts,phrase,jobngram
2470,reconcil benefit account,phrase,jobngram
2471,approving billing statements,phrase,jobngram
2472,approv bill statement,phrase,jobngram
2473,scheduling and assigning employees,phrase,jobngram
2474,schedul and assign employe,phrase,jobngram
2475,maintains benefits staff,phrase,jobngram
2476,maintain benefit staff,phrase,jobngram
2477,preparing the benefits,phrase,jobngram
2478,prepar the benefit,phrase,jobngram
2479,employee files,phrase,jobngram
2480,employe file,phrase,jobngram
2481,employment law,phrase,jobngram
2482,employ law,phrase,jobngram
2483,medicaid billing information,phrase,jobngram
2484,medicaid bill inform,phrase,jobngram
2485,reviewing patient hospital records,phrase,jobngram
2486,review patient hospit record,phrase,jobngram
2487,verifying accuracy,phrase,jobngram
2488,verifi accuraci,phrase,jobngram
2489,medicaid carrier,phrase,jobngram
2490,inputting billing information,phrase,jobngram
2491,input bill inform,phrase,jobngram
2492,initiating electronic transmissions,phrase,jobngram
2493,initi electron transmiss,phrase,jobngram
2494,disputed claims,phrase,jobngram
2495,disput claim,phrase,jobngram
2496,providing additional information,phrase,jobngram
2497,provid addit inform,phrase,jobngram
2498,examining and evaluating data,phrase,jobngram
2499,examin and evalu data,phrase,jobngram
2500,selecting corrective steps,phrase,jobngram
2501,select correct step,phrase,jobngram
2502,reviewing remittance advice,phrase,jobngram
2503,review remitt advic,phrase,jobngram
2504,summarizing billings,phrase,jobngram
2505,summar bill,phrase,jobngram
2506,billing department,phrase,jobngram
2507,bill depart,phrase,jobngram
2508,capturing services,phrase,jobngram
2509,captur servic,phrase,jobngram
2510,clarifying services,phrase,jobngram
2511,clarifi servic,phrase,jobngram
2512,examining patient record,phrase,jobngram
2513,examin patient record,phrase,jobngram
2514,entering service data,phrase,jobngram
2515,enter servic data,phrase,jobngram
2516,mailing invoices,phrase,jobngram
2517,mail invoic,phrase,jobngram
2518,billing issues,phrase,jobngram
2519,bill issu,phrase,jobngram
2520,discussing contract,phrase,jobngram
2521,discuss contract,phrase,jobngram
2522,explaining insurance contract,phrase,jobngram
2523,explain insur contract,phrase,jobngram
2524,negotiating settlement,phrase,jobngram
2525,negoti settlement,phrase,jobngram
2526,entering and adjusting data,phrase,jobngram
2527,enter and adjust data,phrase,jobngram
2528,provides billing information,phrase,jobngram
2529,provid bill inform,phrase,jobngram
2530,summarizing party billings,phrase,jobngram
2531,summar parti bill,phrase,jobngram
2532,data processing,phrase,jobngram
2533,data process,phrase,jobngram
2534,billing human resource objectives,phrase,jobngram
2535,bill human resourc object,phrase,jobngram
2536,billing operational standards,phrase,jobngram
2537,bill oper standard,phrase,jobngram
2538,contributing billing information,phrase,jobngram
2539,contribut bill inform,phrase,jobngram
2540,billing system improvements,phrase,jobngram
2541,bill system improv,phrase,jobngram
2542,billing financial standards,phrase,jobngram
2543,bill financi standard,phrase,jobngram
2544,billing budget information,phrase,jobngram
2545,bill budget inform,phrase,jobngram
2546,billing departmental objectives,phrase,jobngram
2547,bill department object,phrase,jobngram
2548,measuring billing results,phrase,jobngram
2549,measur bill result,phrase,jobngram
2550,evaluating and improving methods,phrase,jobngram
2551,evalu and improv method,phrase,jobngram
2552,making required changes,phrase,jobngram
2553,make requir chang,phrase,jobngram
2554,updating billing policies,phrase,jobngram
2555,updat bill polici,phrase,jobngram
2556,resolving order,phrase,jobngram
2557,resolv order,phrase,jobngram
2558,maintaining customer relations,phrase,jobngram
2559,maintain custom relat,phrase,jobngram
2560,approves credit memos,phrase,jobngram
2561,approv credit memo,phrase,jobngram
2562,reviewing documentation,phrase,jobngram
2563,review document,phrase,jobngram
2564,making modifications,phrase,jobngram
2565,make modif,phrase,jobngram
2566,testing performance,phrase,jobngram
2567,test perform,phrase,jobngram
2568,completing preventive maintenance schedules,phrase,jobngram
2569,complet prevent mainten schedul,phrase,jobngram
2570,troubleshooting and repairing malfunctions,phrase,jobngram
2571,troubleshoot and repair malfunct,phrase,jobngram
2572,evaluating service contracts,phrase,jobngram
2573,evalu servic contract,phrase,jobngram
2574,equipment operation demonstrations,phrase,jobngram
2575,equip oper demonstr,phrase,jobngram
2576,instructing other healthcare staff,phrase,jobngram
2577,instruct other healthcar staff,phrase,jobngram
2578,proposed biomedical equipment,phrase,jobngram
2579,propos biomed equip,phrase,jobngram
2580,studying patient interaction,phrase,jobngram
2581,studi patient interact,phrase,jobngram
2582,developing modifications,phrase,jobngram
2583,develop modif,phrase,jobngram
2584,equipment supplies inventory,phrase,jobngram
2585,equip suppli inventori,phrase,jobngram
2586,analyzing and summarizing information,phrase,jobngram
2587,analyz and summar inform,phrase,jobngram
2588,conducting safety tests,phrase,jobngram
2589,conduct safeti test,phrase,jobngram
2590,training management,phrase,jobngram
2591,train manag,phrase,jobngram
2592,lab environment,phrase,jobngram
2593,lab environ,phrase,jobngram
2594,clinical lab,phrase,jobngram
2595,clinic lab,phrase,jobngram
2596,equipment calibration,phrase,jobngram
2597,equip calibr,phrase,jobngram
2598,conceptual skills,phrase,jobngram
2599,conceptu skill,phrase,jobngram
2600,defining bookkeeping policies,phrase,jobngram
2601,defin bookkeep polici,phrase,jobngram
2602,maintains subsidiary accounts,phrase,jobngram
2603,maintain subsidiari account,phrase,jobngram
2604,balances subsidiary accounts,phrase,jobngram
2605,balanc subsidiari account,phrase,jobngram
2606,reconciling entries,phrase,jobngram
2607,reconcil entri,phrase,jobngram
2608,subsidiary account summaries,phrase,jobngram
2609,subsidiari account summari,phrase,jobngram
2610,preparing a trial balance,phrase,jobngram
2611,prepar a trial balanc,phrase,jobngram
2612,studying requirements,phrase,jobngram
2613,studi requir,phrase,jobngram
2614,filing reports,phrase,jobngram
2615,file report,phrase,jobngram
2616,trendsetter ideas,phrase,jobngram
2617,trendsett idea,phrase,jobngram
2618,tracking individual contributors,phrase,jobngram
2619,track individu contributor,phrase,jobngram
2620,proposes potential business deals,phrase,jobngram
2621,propos potenti busi deal,phrase,jobngram
2622,contacting potential partners,phrase,jobngram
2623,contact potenti partner,phrase,jobngram
2624,discovering and exploring opportunities,phrase,jobngram
2625,discov and explor opportun,phrase,jobngram
2626,analyzing market strategies,phrase,jobngram
2627,analyz market strategi,phrase,jobngram
2628,resolving internal priorities,phrase,jobngram
2629,resolv intern prioriti,phrase,jobngram
2630,recommending equity investments,phrase,jobngram
2631,recommend equiti invest,phrase,jobngram
2632,negotiating strategies,phrase,jobngram
2633,negoti strategi,phrase,jobngram
2634,studying integration,phrase,jobngram
2635,studi integr,phrase,jobngram
2636,examining risks,phrase,jobngram
2637,examin risk,phrase,jobngram
2638,estimating partners,phrase,jobngram
2639,estim partner,phrase,jobngram
2640,closes new business deals,phrase,jobngram
2641,close new busi deal,phrase,jobngram
2642,developing and negotiating contracts,phrase,jobngram
2643,develop and negoti contract,phrase,jobngram
2644,integrating contract requirements,phrase,jobngram
2645,integr contract requir,phrase,jobngram
2646,market knowledge,phrase,jobngram
2647,market knowledg,phrase,jobngram
2648,dining room,phrase,jobngram
2649,dine room,phrase,jobngram
2650,setting decorations,phrase,jobngram
2651,set decor,phrase,jobngram
2652,keeping menus clean,phrase,jobngram
2653,keep menu clean,phrase,jobngram
2654,damaged or soiled pages,phrase,jobngram
2655,damag or soil page,phrase,jobngram
2656,cleaning chalkboards,phrase,jobngram
2657,clean chalkboard,phrase,jobngram
2658,lettering specials,phrase,jobngram
2659,letter special,phrase,jobngram
2660,removing courses,phrase,jobngram
2661,remov cours,phrase,jobngram
2662,replenishing utensils,phrase,jobngram
2663,replenish utensil,phrase,jobngram
2664,refilling water glasses,phrase,jobngram
2665,refil water glass,phrase,jobngram
2666,patron spills,phrase,jobngram
2667,patron spill,phrase,jobngram
2668,wait staff,phrase,jobngram
2669,replenishing condiment stands,phrase,jobngram
2670,replenish condiment stand,phrase,jobngram
2671,dining facility,phrase,jobngram
2672,dine facil,phrase,jobngram
2673,cleaning chairs,phrase,jobngram
2674,clean chair,phrase,jobngram
2675,vacuuming floors,phrase,jobngram
2676,vacuum floor,phrase,jobngram
2677,removing trash,phrase,jobngram
2678,remov trash,phrase,jobngram
2679,staff training opportunities,phrase,jobngram
2680,staff train opportun,phrase,jobngram
2681,obtains client information,phrase,jobngram
2682,obtain client inform,phrase,jobngram
2683,answering telephone,phrase,jobngram
2684,answer telephon,phrase,jobngram
2685,interviewing clients,phrase,jobngram
2686,interview client,phrase,jobngram
2687,verifying information,phrase,jobngram
2688,verifi inform,phrase,jobngram
2689,comparing client information,phrase,jobngram
2690,compar client inform,phrase,jobngram
2691,entering client information,phrase,jobngram
2692,enter client inform,phrase,jobngram
2693,confirming pricing,phrase,jobngram
2694,confirm price,phrase,jobngram
2695,explaining procedures,phrase,jobngram
2696,explain procedur,phrase,jobngram
2697,maintains communication equipment,phrase,jobngram
2698,maintain commun equip,phrase,jobngram
2699,reporting problems,phrase,jobngram
2700,report problem,phrase,jobngram
2701,recommending improved procedures,phrase,jobngram
2702,recommend improv procedur,phrase,jobngram
2703,studying new product descriptions,phrase,jobngram
2704,studi new product descript,phrase,jobngram
2705,phone skills,phrase,jobngram
2706,phone skill,phrase,jobngram
2707,call center operational strategies,phrase,jobngram
2708,call center oper strategi,phrase,jobngram
2709,conducting needs assessments,phrase,jobngram
2710,conduct need assess,phrase,jobngram
2711,identifying and evaluating art technologies,phrase,jobngram
2712,identifi and evalu art technolog,phrase,jobngram
2713,defining user requirements,phrase,jobngram
2714,defin user requir,phrase,jobngram
2715,establishing technical specifications,phrase,jobngram
2716,establish technic specif,phrase,jobngram
2717,organizational strategic plans,phrase,jobngram
2718,organiz strateg plan,phrase,jobngram
2719,call center systems,phrase,jobngram
2720,call center system,phrase,jobngram
2721,developing customer interaction,phrase,jobngram
2722,develop custom interact,phrase,jobngram
2723,voice response systems,phrase,jobngram
2724,voic respons system,phrase,jobngram
2725,designing user interfaces,phrase,jobngram
2726,design user interfac,phrase,jobngram
2727,developing and executing user acceptance test plans,phrase,jobngram
2728,develop and execut user accept test plan,phrase,jobngram
2729,controlling implementations,phrase,jobngram
2730,control implement,phrase,jobngram
2731,call center operations,phrase,jobngram
2732,call center oper,phrase,jobngram
2733,monitoring system performance,phrase,jobngram
2734,monitor system perform,phrase,jobngram
2735,completing system audits,phrase,jobngram
2736,complet system audit,phrase,jobngram
2737,managing system,phrase,jobngram
2738,manag system,phrase,jobngram
2739,quality assurance programs,phrase,jobngram
2740,qualiti assur program,phrase,jobngram
2741,installing upgrades,phrase,jobngram
2742,instal upgrad,phrase,jobngram
2743,call center,phrase,jobngram
2744,administering scheduling systems,phrase,jobngram
2745,administ schedul system,phrase,jobngram
2746,call center performance reports,phrase,jobngram
2747,call center perform report,phrase,jobngram
2748,developing preventive maintenance programs,phrase,jobngram
2749,develop prevent mainten program,phrase,jobngram
2750,evaluating and implementing upgrades,phrase,jobngram
2751,evalu and implement upgrad,phrase,jobngram
2752,tracking emerging trends,phrase,jobngram
2753,track emerg trend,phrase,jobngram
2754,clarifying desired information,phrase,jobngram
2755,clarifi desir inform,phrase,jobngram
2756,clarifying issues,phrase,jobngram
2757,clarifi issu,phrase,jobngram
2758,researching and exploring answers,phrase,jobngram
2759,research and explor answer,phrase,jobngram
2760,implementing solutions,phrase,jobngram
2761,implement solut,phrase,jobngram
2762,escalating unresolved problems,phrase,jobngram
2763,escal unresolv problem,phrase,jobngram
2764,completing transactions,phrase,jobngram
2765,complet transact,phrase,jobngram
2766,forwarding requests,phrase,jobngram
2767,forward request,phrase,jobngram
2768,sells additional services,phrase,jobngram
2769,sell addit servic,phrase,jobngram
2770,recognizing opportunities,phrase,jobngram
2771,recogn opportun,phrase,jobngram
2772,explaining new features,phrase,jobngram
2773,explain new featur,phrase,jobngram
2774,call center database,phrase,jobngram
2775,call center databas,phrase,jobngram
2776,entering information,phrase,jobngram
2777,enter inform,phrase,jobngram
2778,reporting malfunctions,phrase,jobngram
2779,report malfunct,phrase,jobngram
2780,takes orders,phrase,jobngram
2781,obtaining and verifying information,phrase,jobngram
2782,obtain and verifi inform,phrase,jobngram
2783,transmitting information,phrase,jobngram
2784,transmit inform,phrase,jobngram
2785,provides product,phrase,jobngram
2786,provid product,phrase,jobngram
2787,offering assistance,phrase,jobngram
2788,entering and verifying information,phrase,jobngram
2789,enter and verifi inform,phrase,jobngram
2790,updating contact log,phrase,jobngram
2791,updat contact log,phrase,jobngram
2792,confirming patient identification,phrase,jobngram
2793,confirm patient identif,phrase,jobngram
2794,reviewing consultation requests,phrase,jobngram
2795,review consult request,phrase,jobngram
2796,entering anticipated services,phrase,jobngram
2797,enter anticip servic,phrase,jobngram
2798,patient log,phrase,jobngram
2799,explaining equipment,phrase,jobngram
2800,explain equip,phrase,jobngram
2801,instructing and assisting patient,phrase,jobngram
2802,instruct and assist patient,phrase,jobngram
2803,assuming physical position,phrase,jobngram
2804,assum physic posit,phrase,jobngram
2805,using electronic test equipment,phrase,jobngram
2806,use electron test equip,phrase,jobngram
2807,recording devices,phrase,jobngram
2808,record devic,phrase,jobngram
2809,operating channel,phrase,jobngram
2810,oper channel,phrase,jobngram
2811,recording functions,phrase,jobngram
2812,record function,phrase,jobngram
2813,alerting physicians,phrase,jobngram
2814,alert physician,phrase,jobngram
2815,instrument readings,phrase,jobngram
2816,instrument read,phrase,jobngram
2817,providing test results,phrase,jobngram
2818,provid test result,phrase,jobngram
2819,using spirometer,phrase,jobngram
2820,use spiromet,phrase,jobngram
2821,testing equipment,phrase,jobngram
2822,test equip,phrase,jobngram
2823,maintaining laboratory records,phrase,jobngram
2824,maintain laboratori record,phrase,jobngram
2825,completing charge slips,phrase,jobngram
2826,complet charg slip,phrase,jobngram
2827,patient billing,phrase,jobngram
2828,patient bill,phrase,jobngram
2829,troubleshooting problems,phrase,jobngram
2830,troubleshoot problem,phrase,jobngram
2831,reporting equipment malfunctions,phrase,jobngram
2832,report equip malfunct,phrase,jobngram
2833,supply inventory levels,phrase,jobngram
2834,suppli inventori level,phrase,jobngram
2835,completing and placing supply requisitions,phrase,jobngram
2836,complet and place suppli requisit,phrase,jobngram
2837,restocking supply storeroom,phrase,jobngram
2838,restock suppli storeroom,phrase,jobngram
2839,maintains quality results,phrase,jobngram
2840,maintain qualiti result,phrase,jobngram
2841,submitting reports,phrase,jobngram
2842,submit report,phrase,jobngram
2843,health care facility,phrase,jobngram
2844,health care facil,phrase,jobngram
2845,enhances health care,phrase,jobngram
2846,enhanc health care,phrase,jobngram
2847,diagnostic procedures,phrase,jobngram
2848,diagnost procedur,phrase,jobngram
2849,medical technologies,phrase,jobngram
2850,medic technolog,phrase,jobngram
2851,entering anticipated service date,phrase,jobngram
2852,enter anticip servic date,phrase,jobngram
2853,verifying medical history,phrase,jobngram
2854,verifi medic histori,phrase,jobngram
2855,answering their questions,phrase,jobngram
2856,answer their question,phrase,jobngram
2857,diagnosing and treating cardiac,phrase,jobngram
2858,diagnos and treat cardiac,phrase,jobngram
2859,helping physicians,phrase,jobngram
2860,help physician,phrase,jobngram
2861,wind a catheter,phrase,jobngram
2862,wind a cathet,phrase,jobngram
2863,attaching electrodes,phrase,jobngram
2864,attach electrod,phrase,jobngram
2865,manipulating switches,phrase,jobngram
2866,manipul switch,phrase,jobngram
2867,obtain a reading,phrase,jobngram
2868,obtain a read,phrase,jobngram
2869,treadmill stress tests,phrase,jobngram
2870,treadmil stress test,phrase,jobngram
2871,connecting patient,phrase,jobngram
2872,connect patient,phrase,jobngram
2873,obtaining a baseline rate reading,phrase,jobngram
2874,obtain a baselin rate read,phrase,jobngram
2875,resting blood pressure,phrase,jobngram
2876,rest blood pressur,phrase,jobngram
2877,increasing the speed,phrase,jobngram
2878,increas the speed,phrase,jobngram
2879,observing the effect,phrase,jobngram
2880,observ the effect,phrase,jobngram
2881,collecting ultrasound echoes,phrase,jobngram
2882,collect ultrasound echo,phrase,jobngram
2883,form a screen image,phrase,jobngram
2884,form a screen imag,phrase,jobngram
2885,completing patient records,phrase,jobngram
2886,complet patient record,phrase,jobngram
2887,following preventive maintenance procedures,phrase,jobngram
2888,follow prevent mainten procedur,phrase,jobngram
2889,anticipating repair requirements,phrase,jobngram
2890,anticip repair requir,phrase,jobngram
2891,evaluating diagnostic studies,phrase,jobngram
2892,evalu diagnost studi,phrase,jobngram
2893,following asepsis standards,phrase,jobngram
2894,follow asepsi standard,phrase,jobngram
2895,cardiovascular knowledge,phrase,jobngram
2896,cardiovascular knowledg,phrase,jobngram
2897,technical information,phrase,jobngram
2898,technic inform,phrase,jobngram
2899,reviewing records,phrase,jobngram
2900,review record,phrase,jobngram
2901,conducting orientations,phrase,jobngram
2902,conduct orient,phrase,jobngram
2903,completing intake interviews,phrase,jobngram
2904,complet intak interview,phrase,jobngram
2905,determining need,phrase,jobngram
2906,determin need,phrase,jobngram
2907,reviewing therapist evaluations,phrase,jobngram
2908,review therapist evalu,phrase,jobngram
2909,establishes treatment programs,phrase,jobngram
2910,establish treatment program,phrase,jobngram
2911,setting schedules,phrase,jobngram
2912,set schedul,phrase,jobngram
2913,coordinating services,phrase,jobngram
2914,coordin servic,phrase,jobngram
2915,arranging resources,phrase,jobngram
2916,arrang resourc,phrase,jobngram
2917,verifying clients,phrase,jobngram
2918,verifi client,phrase,jobngram
2919,observing and evaluating treatments,phrase,jobngram
2920,observ and evalu treatment,phrase,jobngram
2921,needed services,phrase,jobngram
2922,need servic,phrase,jobngram
2923,obtaining additional resources,phrase,jobngram
2924,providing personal support,phrase,jobngram
2925,provid person support,phrase,jobngram
2926,reviewing case notes,phrase,jobngram
2927,review case note,phrase,jobngram
2928,logging events,phrase,jobngram
2929,log event,phrase,jobngram
2930,conducting weekly interdisciplinary meetings,phrase,jobngram
2931,conduct weekli interdisciplinari meet,phrase,jobngram
2932,disseminating results,phrase,jobngram
2933,dissemin result,phrase,jobngram
2934,identifying treatment influences,phrase,jobngram
2935,identifi treatment influenc,phrase,jobngram
2936,reviewing and amplifying discharge plans,phrase,jobngram
2937,review and amplifi discharg plan,phrase,jobngram
2938,coordinating discharge,phrase,jobngram
2939,coordin discharg,phrase,jobngram
2940,orienting and training family members,phrase,jobngram
2941,orient and train famili member,phrase,jobngram
2942,providing resources,phrase,jobngram
2943,provid resourc,phrase,jobngram
2944,improves staff competence,phrase,jobngram
2945,improv staff compet,phrase,jobngram
2946,providing educational resources,phrase,jobngram
2947,provid educ resourc,phrase,jobngram
2948,balancing work requirements,phrase,jobngram
2949,balanc work requir,phrase,jobngram
2950,evaluating the application,phrase,jobngram
2951,evalu the applic,phrase,jobngram
2952,improves treatment results,phrase,jobngram
2953,improv treatment result,phrase,jobngram
2954,rewriting policies,phrase,jobngram
2955,rewrit polici,phrase,jobngram
2956,analyzing results,phrase,jobngram
2957,analyz result,phrase,jobngram
2958,monitoring variances,phrase,jobngram
2959,monitor varianc,phrase,jobngram
2960,recommending actions,phrase,jobngram
2961,recommend action,phrase,jobngram
2962,summarizing treatment,phrase,jobngram
2963,summar treatment,phrase,jobngram
2964,compiling statistics,phrase,jobngram
2965,compil statist,phrase,jobngram
2966,completing grant,phrase,jobngram
2967,complet grant,phrase,jobngram
2968,recording prices,phrase,jobngram
2969,record price,phrase,jobngram
2970,operating a cash register,phrase,jobngram
2971,oper a cash regist,phrase,jobngram
2972,enters price changes,phrase,jobngram
2973,enter price chang,phrase,jobngram
2974,redeeming coupons,phrase,jobngram
2975,redeem coupon,phrase,jobngram
2976,accepting cash,phrase,jobngram
2977,accept cash,phrase,jobngram
2978,making change,phrase,jobngram
2979,make chang,phrase,jobngram
2980,verifies credit acceptance,phrase,jobngram
2981,verifi credit accept,phrase,jobngram
2982,reviewing and recording driver,phrase,jobngram
2983,review and record driver,phrase,jobngram
2984,credit card authorization,phrase,jobngram
2985,credit card author,phrase,jobngram
2986,balances cash drawer,phrase,jobngram
2987,balanc cash drawer,phrase,jobngram
2988,counting cash,phrase,jobngram
2989,count cash,phrase,jobngram
2990,provides pricing information,phrase,jobngram
2991,provid price inform,phrase,jobngram
2992,checkout operations,phrase,jobngram
2993,checkout oper,phrase,jobngram
2994,answering or referring inquiries,phrase,jobngram
2995,answer or refer inquiri,phrase,jobngram
2996,health care visit,phrase,jobngram
2997,providing examination gowns,phrase,jobngram
2998,provid examin gown,phrase,jobngram
2999,arranging examining room instruments,phrase,jobngram
3000,arrang examin room instrument,phrase,jobngram
3001,interviewing patient,phrase,jobngram
3002,recording medical history,phrase,jobngram
3003,record medic histori,phrase,jobngram
3004,taking vital signs,phrase,jobngram
3005,take vital sign,phrase,jobngram
3006,confirming purpose,phrase,jobngram
3007,confirm purpos,phrase,jobngram
3008,supports patient care,phrase,jobngram
3009,support patient care,phrase,jobngram
3010,health care providers,phrase,jobngram
3011,health care provid,phrase,jobngram
3012,preparing laboratory specimens,phrase,jobngram
3013,prepar laboratori specimen,phrase,jobngram
3014,performing basic laboratory tests,phrase,jobngram
3015,perform basic laboratori test,phrase,jobngram
3016,sterilizing medical instruments,phrase,jobngram
3017,steril medic instrument,phrase,jobngram
3018,administering medications,phrase,jobngram
3019,administ medic,phrase,jobngram
3020,authorizing drug refills,phrase,jobngram
3021,author drug refil,phrase,jobngram
3022,telephoning prescriptions,phrase,jobngram
3023,telephon prescript,phrase,jobngram
3024,drawing blood,phrase,jobngram
3025,draw blood,phrase,jobngram
3026,preparing patients,phrase,jobngram
3027,prepar patient,phrase,jobngram
3028,taking electrocardiograms,phrase,jobngram
3029,take electrocardiogram,phrase,jobngram
3030,removing sutures,phrase,jobngram
3031,remov sutur,phrase,jobngram
3032,changing dressings,phrase,jobngram
3033,chang dress,phrase,jobngram
3034,providing medication,phrase,jobngram
3035,provid medic,phrase,jobngram
3036,recording patient examination,phrase,jobngram
3037,record patient examin,phrase,jobngram
3038,recording billing information,phrase,jobngram
3039,record bill inform,phrase,jobngram
3040,completing insurance forms,phrase,jobngram
3041,complet insur form,phrase,jobngram
3042,enforcing standards,phrase,jobngram
3043,enforc standard,phrase,jobngram
3044,care information confidential,phrase,jobngram
3045,care inform confidenti,phrase,jobngram
3046,protects the physician,phrase,jobngram
3047,protect the physician,phrase,jobngram
3048,health care provider,phrase,jobngram
3049,clinical skills,phrase,jobngram
